,Sector,Climate,Health,Intersection,Year
0,Alternative Energy,1.0,1.0,0.0,2022
1,Beverages,0.17,1.0,0.17,2022
2,Electricity,0.94,0.94,0.18,2022
3,Electronic & Electrical Equ...,0.0,1.0,0.0,2022
4,Financial Services,0.86,0.86,0.03,2022
5,Fixed Line Telecommunications,0.5,0.67,0.0,2022
6,Food Producers,1.0,1.0,1.0,2022
7,"Gas, Water & Multiutilities",0.47,0.88,0.06,2022
8,General Industrials,0.46,0.88,0.08,2022
9,General Retailers,0.87,0.8,0.67,2022
10,Health Care Equipment & Ser...,0.4,1.0,0.0,2022
11,Industrial Transportation,0.7,0.8,0.4,2022
12,Media,0.0,0.83,0.0,2022
13,Mobile Telecommunications,1.0,1.0,0.0,2022
14,Not Applicable,0.0,1.0,0.0,2022
15,Real Estate Investment Trusts,1.0,1.0,0.0,2022
16,Software & Computer Services,0.0,1.0,0.0,2022
17,Support Services,0.17,0.83,0.04,2022
