,Sector,intersection,climate,health
0,Banks,0.0,0.0,0.0
1,Construction & Materials,0.0,9.0,32.0
2,Diversified,2.0,13.0,159.0
3,Electricity,0.0,18.0,104.0
4,Financial Services,0.0,0.0,41.0
5,Fixed Line Telecommunications,0.0,2.0,89.0
6,Forestry & Paper,1.0,21.0,244.0
7,"Gas, Water & Multiutilities",4.0,5.0,332.0
8,General Industrials,0.0,0.0,4.0
9,Health Care Equipment & Ser...,0.0,0.0,4.0
10,Life Insurance,10.0,26.0,220.0
11,Nonlife Insurance,0.0,7.0,178.0
12,Not Applicable,0.0,1.0,2.0
13,Oil & Gas Producers,1.0,11.0,172.0
14,"Oil Equipment, Services & D...",0.0,0.0,0.0
15,Pharmaceuticals & Biotechno...,0.0,0.0,23.0
16,Software & Computer Services,0.0,6.0,15.0
17,Support Services,0.0,55.0,380.0
