,Year,LC_grouping,Climate,Health,Intersection
0,2011,South and Central America,0.4,1.0,0.0
1,2012,South and Central America,0.46,0.92,0.0
2,2013,South and Central America,0.47,0.87,0.0
3,2014,South and Central America,0.75,0.88,0.12
4,2015,South and Central America,0.4,0.8,0.0
5,2016,South and Central America,0.43,0.93,0.07
6,2017,South and Central America,0.55,0.82,0.0
7,2018,South and Central America,0.56,0.89,0.22
8,2019,South and Central America,0.67,1.0,0.33
9,2020,South and Central America,0.5,0.5,0.0
10,2021,South and Central America,0.67,1.0,0.33
11,2022,South and Central America,0.38,0.62,0.38
