,Sector,intersection,health,climate
0,Alternative Energy,4.5,59.0,63.0
1,Banks,5.4,30.4,67.0
2,Beverages,5.0,193.0,181.0
3,Chemicals,8.6,68.6,51.6
4,Construction & Materials,1.0,7.5,32.0
5,Diversified,2.43,22.57,61.57
6,Electricity,4.0,60.0,45.0
7,Electronic & Electrical Equ...,1.17,31.83,20.5
8,Financial Services,5.91,40.45,56.18
9,Fixed Line Telecommunications,0.0,5.0,4.0
10,Food Producers,4.5,66.0,37.5
11,General Industrials,0.11,4.33,1.89
12,General Retailers,0.0,3.0,2.0
13,Health Care Equipment & Ser...,1.67,52.33,17.0
14,Household Goods & Home Cons...,0.0,63.0,48.0
15,Industrial Engineering,1.0,27.0,6.33
16,Industrial Metals & Mining,0.33,14.67,2.33
17,Industrial Transportation,3.0,48.0,48.67
18,Life Insurance,2.0,77.0,61.0
19,Nonlife Insurance,2.0,5.0,12.0
20,Oil & Gas Producers,0.0,0.0,1.5
21,Personal Goods,0.0,92.0,3.0
22,Pharmaceuticals & Biotechno...,11.5,57.5,22.5
23,Real Estate Investment & Se...,1.0,7.0,19.0
24,Software & Computer Services,1.43,41.86,32.71
25,Support Services,0.5,9.62,6.75
26,Technology Hardware & Equip...,1.0,43.5,34.75
27,Travel & Leisure,1.67,30.33,15.33
