,Sector,intersection,health,climate
0,Alternative Energy,0.0,2.0,1.0
1,Automobiles & Parts,2.0,9.0,11.33
2,Banks,1.0,88.5,24.5
3,Beverages,4.0,42.0,31.0
4,Chemicals,0.5,3.5,2.0
5,Construction & Materials,0.79,51.29,16.71
6,Diversified,0.94,24.94,9.94
7,Electricity,0.0,14.0,28.0
8,Electronic & Electrical Equ...,0.4,24.6,5.8
9,Financial Services,6.75,114.0,44.5
10,Food Producers,1.29,34.86,9.0
11,Forestry & Paper,0.0,1.0,0.0
12,"Gas, Water & Multiutilities",0.4,74.0,32.6
13,General Industrials,1.08,32.58,13.5
14,General Retailers,5.0,70.5,45.5
15,Health Care Equipment & Ser...,3.0,50.0,18.0
16,Household Goods & Home Cons...,1.0,74.33,14.33
17,Industrial Engineering,5.0,62.4,37.2
18,Industrial Metals & Mining,7.5,139.5,62.0
19,Industrial Transportation,8.0,81.5,29.0
20,Leisure Goods,0.0,16.0,3.0
21,Life Insurance,0.0,21.0,5.0
22,Mobile Telecommunications,2.0,58.0,16.0
23,Oil & Gas Producers,2.0,152.0,35.0
24,Personal Goods,1.6,49.4,11.6
25,Pharmaceuticals & Biotechno...,0.0,7.0,0.0
26,Real Estate Investment & Se...,0.0,23.0,1.0
27,Software & Computer Services,0.25,17.0,4.25
28,Support Services,0.14,18.64,4.57
29,Technology Hardware & Equip...,0.6,12.0,2.6
30,Travel & Leisure,8.0,188.0,56.0
