,Sector,intersection,health,climate
0,Automobiles & Parts,4.29,98.14,78.43
1,Banks,4.0,47.67,128.67
2,Beverages,19.67,291.67,153.33
3,Chemicals,4.46,93.83,44.5
4,Construction & Materials,3.62,60.24,65.67
5,Diversified,2.08,61.42,36.25
6,Electricity,0.0,57.0,56.0
7,Electronic & Electrical Equ...,4.19,79.75,60.42
8,Financial Services,6.5,62.5,142.12
9,Food Producers,6.92,198.58,42.0
10,Forestry & Paper,3.0,63.8,55.4
11,"Gas, Water & Multiutilities",5.0,106.5,154.0
12,General Industrials,3.06,77.9,57.35
13,General Retailers,0.6,32.8,18.0
14,Health Care Equipment & Ser...,7.8,153.8,37.4
15,Household Goods & Home Cons...,12.0,428.0,286.75
16,Industrial Engineering,1.0,15.86,31.43
17,Industrial Metals & Mining,1.83,21.17,35.67
18,Industrial Transportation,4.22,73.22,50.33
19,Leisure Goods,2.0,69.67,37.33
20,Life Insurance,17.75,187.25,82.0
21,Media,1.0,23.0,41.0
22,Oil & Gas Producers,5.75,71.75,103.88
23,Personal Goods,1.75,52.25,26.5
24,Pharmaceuticals & Biotechno...,16.33,270.67,56.33
25,Real Estate Investment & Se...,7.56,79.67,68.0
26,Real Estate Investment Trusts,6.0,197.0,177.0
27,Software & Computer Services,1.38,35.25,41.38
28,Support Services,3.47,83.13,55.07
29,Technology Hardware & Equip...,4.57,94.43,97.29
30,Travel & Leisure,3.33,79.0,49.67
