,WHO,Year,intersection,climate,health,sum,Sector
0,Western Pacific,2011,0.0,18.0,198.0,216.0,Health Care Equipment & Ser...
1,Western Pacific,2012,0.0,15.0,114.0,129.0,Health Care Equipment & Ser...
2,Western Pacific,2013,24.0,84.0,427.0,535.0,Health Care Equipment & Ser...
3,Western Pacific,2014,10.0,33.0,336.0,379.0,Health Care Equipment & Ser...
4,Western Pacific,2015,9.0,35.0,334.0,378.0,Health Care Equipment & Ser...
5,Western Pacific,2016,13.0,24.0,251.0,288.0,Health Care Equipment & Ser...
6,Western Pacific,2017,2.0,37.0,266.0,305.0,Health Care Equipment & Ser...
7,Western Pacific,2018,1.0,65.0,572.0,638.0,Health Care Equipment & Ser...
8,Western Pacific,2019,3.0,13.0,460.0,476.0,Health Care Equipment & Ser...
9,Western Pacific,2020,8.0,62.0,548.0,618.0,Health Care Equipment & Ser...
10,Western Pacific,2021,13.0,81.0,544.0,638.0,Health Care Equipment & Ser...
11,Western Pacific,2022,39.0,187.0,769.0,995.0,Health Care Equipment & Ser...
