,HDI Level (2021),Year,intersection,climate,health,sum,Sector
0,0,2017,0.0,0.0,0.0,0.0,Health Care Equipment & Ser...
1,0,2018,0.0,1.0,1.0,2.0,Health Care Equipment & Ser...
2,0,2019,0.0,1.0,6.0,7.0,Health Care Equipment & Ser...
3,0,2020,0.0,1.0,1.0,2.0,Health Care Equipment & Ser...
4,0,2021,0.0,1.0,1.0,2.0,Health Care Equipment & Ser...
5,High,2012,3.0,15.0,122.0,140.0,Health Care Equipment & Ser...
6,High,2013,0.0,6.0,131.0,137.0,Health Care Equipment & Ser...
7,High,2014,0.0,0.0,111.0,111.0,Health Care Equipment & Ser...
8,High,2015,0.0,8.0,312.0,320.0,Health Care Equipment & Ser...
9,High,2016,0.0,2.0,0.0,2.0,Health Care Equipment & Ser...
10,High,2017,0.0,0.0,0.0,0.0,Health Care Equipment & Ser...
11,High,2018,1.0,11.0,33.0,45.0,Health Care Equipment & Ser...
12,High,2019,3.0,39.0,318.0,360.0,Health Care Equipment & Ser...
13,High,2020,2.0,23.0,234.0,259.0,Health Care Equipment & Ser...
14,High,2021,6.0,40.0,346.0,392.0,Health Care Equipment & Ser...
15,High,2022,82.0,147.0,716.0,945.0,Health Care Equipment & Ser...
16,Low,2016,0.0,0.0,13.0,13.0,Health Care Equipment & Ser...
17,Low,2017,0.0,0.0,2.0,2.0,Health Care Equipment & Ser...
18,Low,2018,0.0,0.0,3.0,3.0,Health Care Equipment & Ser...
19,Low,2019,0.0,0.0,4.0,4.0,Health Care Equipment & Ser...
20,Low,2020,0.0,0.0,11.0,11.0,Health Care Equipment & Ser...
21,Low,2021,0.0,0.0,13.0,13.0,Health Care Equipment & Ser...
22,Low,2022,0.0,0.0,12.0,12.0,Health Care Equipment & Ser...
23,Medium,2011,0.0,1.0,64.0,65.0,Health Care Equipment & Ser...
24,Medium,2012,1.0,3.0,125.0,129.0,Health Care Equipment & Ser...
25,Medium,2013,0.0,0.0,96.0,96.0,Health Care Equipment & Ser...
26,Medium,2014,44.0,24.0,206.0,274.0,Health Care Equipment & Ser...
27,Medium,2015,12.0,27.0,204.0,243.0,Health Care Equipment & Ser...
28,Medium,2016,8.0,7.0,166.0,181.0,Health Care Equipment & Ser...
29,Medium,2017,0.0,2.0,56.0,58.0,Health Care Equipment & Ser...
30,Medium,2018,12.0,11.0,146.0,169.0,Health Care Equipment & Ser...
31,Medium,2019,0.0,2.0,156.0,158.0,Health Care Equipment & Ser...
32,Medium,2020,0.0,3.0,39.0,42.0,Health Care Equipment & Ser...
33,Medium,2021,20.0,9.0,229.0,258.0,Health Care Equipment & Ser...
34,Medium,2022,1.0,5.0,121.0,127.0,Health Care Equipment & Ser...
35,Very High,2011,0.0,32.0,393.0,425.0,Health Care Equipment & Ser...
36,Very High,2012,1.0,30.0,308.0,339.0,Health Care Equipment & Ser...
37,Very High,2013,23.0,68.0,787.0,878.0,Health Care Equipment & Ser...
38,Very High,2014,19.0,86.0,1038.0,1143.0,Health Care Equipment & Ser...
39,Very High,2015,12.0,91.0,872.0,975.0,Health Care Equipment & Ser...
40,Very High,2016,15.0,90.0,715.0,820.0,Health Care Equipment & Ser...
41,Very High,2017,4.0,173.0,841.0,1018.0,Health Care Equipment & Ser...
42,Very High,2018,34.0,236.0,1691.0,1961.0,Health Care Equipment & Ser...
43,Very High,2019,37.0,225.0,1256.0,1518.0,Health Care Equipment & Ser...
44,Very High,2020,34.0,250.0,1496.0,1780.0,Health Care Equipment & Ser...
45,Very High,2021,123.0,626.0,4603.0,5352.0,Health Care Equipment & Ser...
46,Very High,2022,292.0,1045.0,4978.0,6315.0,Health Care Equipment & Ser...
