,Year,SIDS,Climate,Health,Intersection
22,2018,SIDS,1.0,1.0,0.0
26,2019,SIDS,1.0,1.0,1.0
1,2011,Tier 1,0.67,1.0,0.0
4,2012,Tier 1,0.36,0.91,0.09
7,2013,Tier 1,0.24,0.81,0.0
10,2014,Tier 1,0.38,0.75,0.12
13,2015,Tier 1,0.38,1.0,0.15
16,2016,Tier 1,0.33,0.73,0.07
19,2017,Tier 1,0.39,0.94,0.06
23,2018,Tier 1,0.67,0.94,0.39
27,2019,Tier 1,0.7,1.0,0.35
30,2020,Tier 1,0.6,0.87,0.27
33,2021,Tier 1,0.83,0.98,0.49
36,2022,Tier 1,0.72,0.89,0.49
2,2011,Tier 2,0.0,1.0,0.0
5,2012,Tier 2,0.5,0.5,0.5
8,2013,Tier 2,0.33,0.33,0.0
11,2014,Tier 2,0.0,0.5,0.0
14,2015,Tier 2,0.33,0.5,0.0
17,2016,Tier 2,0.0,0.0,0.0
20,2017,Tier 2,0.0,0.0,0.0
24,2018,Tier 2,1.0,0.67,0.33
28,2019,Tier 2,1.0,1.0,0.33
31,2020,Tier 2,1.0,1.0,0.33
34,2021,Tier 2,0.43,0.71,0.43
37,2022,Tier 2,0.8,1.0,0.8
