,Year,HDI Level (2021),Climate,Health,Intersection
2,2012,High,0.33,0.67,0.33
5,2013,High,0.43,0.43,0.0
8,2014,High,0.0,0.5,0.0
11,2015,High,0.29,0.57,0.0
14,2016,High,0.33,0.0,0.0
19,2017,High,0.0,0.0,0.0
24,2018,High,0.6,0.4,0.2
29,2019,High,0.75,0.75,0.25
34,2020,High,0.75,0.75,0.25
39,2021,High,0.33,0.5,0.33
43,2022,High,0.67,1.0,0.67
15,2016,Low,0.0,1.0,0.0
20,2017,Low,0.0,1.0,0.0
25,2018,Low,0.0,1.0,0.0
30,2019,Low,0.0,1.0,0.0
35,2020,Low,0.0,1.0,0.0
40,2021,Low,0.0,1.0,0.0
44,2022,Low,0.0,1.0,0.0
0,2011,Medium,0.25,1.0,0.0
3,2012,Medium,0.5,1.0,0.5
6,2013,Medium,0.0,1.0,0.0
9,2014,Medium,0.2,1.0,0.2
12,2015,Medium,0.17,1.0,0.17
16,2016,Medium,0.4,1.0,0.4
21,2017,Medium,0.25,1.0,0.0
26,2018,Medium,0.25,1.0,0.25
31,2019,Medium,0.2,1.0,0.0
36,2020,Medium,0.67,1.0,0.0
41,2021,Medium,0.33,1.0,0.33
45,2022,Medium,0.5,1.0,0.25
1,2011,Very High,0.82,1.0,0.0
4,2012,Very High,0.43,0.93,0.07
7,2013,Very High,0.26,0.87,0.04
10,2014,Very High,0.38,0.86,0.14
13,2015,Very High,0.53,1.0,0.18
17,2016,Very High,0.41,0.86,0.14
22,2017,Very High,0.54,0.92,0.08
27,2018,Very High,0.73,0.96,0.35
32,2019,Very High,0.72,1.0,0.34
37,2020,Very High,0.66,0.89,0.34
42,2021,Very High,0.8,0.96,0.47
46,2022,Very High,0.76,0.89,0.53
