,Year,LC_grouping,Climate,Health,Intersection
0,2011,Africa,0.69,0.92,0.25
7,2012,Africa,0.5,0.9,0.17
14,2013,Africa,0.4,0.82,0.12
21,2014,Africa,0.47,0.83,0.11
28,2015,Africa,0.5,0.9,0.14
35,2016,Africa,0.53,0.87,0.17
42,2017,Africa,0.49,0.83,0.14
49,2018,Africa,0.52,0.84,0.14
56,2019,Africa,0.56,0.87,0.2
63,2020,Africa,0.57,0.85,0.26
70,2021,Africa,0.58,0.87,0.27
77,2022,Africa,0.71,0.88,0.37
1,2011,Asia,0.71,0.82,0.28
8,2012,Asia,0.68,0.81,0.27
15,2013,Asia,0.68,0.86,0.25
22,2014,Asia,0.66,0.82,0.25
29,2015,Asia,0.64,0.82,0.25
36,2016,Asia,0.64,0.83,0.24
43,2017,Asia,0.65,0.86,0.26
50,2018,Asia,0.66,0.84,0.3
57,2019,Asia,0.65,0.85,0.32
64,2020,Asia,0.71,0.88,0.39
71,2021,Asia,0.71,0.88,0.46
78,2022,Asia,0.79,0.89,0.53
2,2011,Europe,0.72,0.83,0.23
9,2012,Europe,0.69,0.82,0.19
16,2013,Europe,0.64,0.81,0.15
23,2014,Europe,0.64,0.8,0.18
30,2015,Europe,0.64,0.8,0.19
37,2016,Europe,0.62,0.79,0.19
44,2017,Europe,0.65,0.78,0.2
51,2018,Europe,0.67,0.82,0.23
58,2019,Europe,0.69,0.84,0.24
65,2020,Europe,0.74,0.84,0.33
72,2021,Europe,0.75,0.85,0.42
79,2022,Europe,0.8,0.84,0.44
3,2011,Northern America,0.75,0.83,0.27
10,2012,Northern America,0.69,0.82,0.24
17,2013,Northern America,0.64,0.78,0.25
24,2014,Northern America,0.62,0.81,0.19
31,2015,Northern America,0.64,0.82,0.26
38,2016,Northern America,0.66,0.84,0.26
45,2017,Northern America,0.78,0.86,0.35
52,2018,Northern America,0.72,0.82,0.33
59,2019,Northern America,0.74,0.84,0.32
66,2020,Northern America,0.85,0.9,0.45
73,2021,Northern America,0.88,0.91,0.59
80,2022,Northern America,0.85,0.89,0.59
4,2011,Oceania,0.77,0.81,0.23
11,2012,Oceania,0.7,0.85,0.09
18,2013,Oceania,0.6,0.8,0.2
25,2014,Oceania,0.58,0.87,0.13
32,2015,Oceania,0.52,0.82,0.15
39,2016,Oceania,0.63,0.84,0.24
46,2017,Oceania,0.74,0.85,0.28
53,2018,Oceania,0.75,0.87,0.32
60,2019,Oceania,0.79,0.89,0.35
67,2020,Oceania,0.83,0.89,0.54
74,2021,Oceania,0.8,0.86,0.5
81,2022,Oceania,0.85,0.87,0.5
5,2011,SIDS,0.57,0.71,0.19
12,2012,SIDS,0.5,0.7,0.17
19,2013,SIDS,0.66,0.75,0.22
26,2014,SIDS,0.52,0.76,0.28
33,2015,SIDS,0.58,0.79,0.21
40,2016,SIDS,0.63,0.77,0.23
47,2017,SIDS,0.71,0.86,0.46
54,2018,SIDS,0.77,0.94,0.39
61,2019,SIDS,0.74,0.94,0.38
68,2020,SIDS,0.75,0.86,0.45
75,2021,SIDS,0.83,0.89,0.59
82,2022,SIDS,0.81,0.89,0.52
6,2011,South and Central America,0.6,0.71,0.25
13,2012,South and Central America,0.58,0.65,0.24
20,2013,South and Central America,0.54,0.61,0.21
27,2014,South and Central America,0.47,0.6,0.18
34,2015,South and Central America,0.51,0.65,0.14
41,2016,South and Central America,0.39,0.45,0.14
48,2017,South and Central America,0.49,0.49,0.18
55,2018,South and Central America,0.48,0.49,0.18
62,2019,South and Central America,0.48,0.5,0.23
69,2020,South and Central America,0.56,0.61,0.3
76,2021,South and Central America,0.61,0.62,0.42
83,2022,South and Central America,0.56,0.54,0.36
