,Sector,intersection,climate,health
0,Automobiles & Parts,0.0,0.0,3.0
1,Banks,1.0,10.0,51.0
2,Construction & Materials,3.0,7.0,52.0
3,Financial Services,23.0,129.0,471.0
4,Food Producers,6.0,12.0,62.0
5,General Industrials,45.0,290.0,800.0
6,General Retailers,0.0,0.0,7.0
7,Household Goods & Home Cons...,0.0,0.0,2.0
8,Media,4.0,36.0,41.0
9,Nonlife Insurance,0.0,6.0,14.0
10,Not Applicable,0.0,1.0,3.0
11,"Oil Equipment, Services & D...",1.0,1.0,40.0
12,Personal Goods,16.0,61.0,304.0
13,Pharmaceuticals & Biotechno...,0.0,13.0,207.0
14,Software & Computer Services,0.0,9.0,17.0
15,Technology Hardware & Equip...,0.0,3.0,10.0
